state3,steps,sum_pnl,mean_pnl,mean_option_pnl,mean_hedge_pnl,mean_agent_minus_bs,mean_delta_gap,year,portfolio,share_negative_steps,share_negative_loss
spot_up/option_up/iv_up,434,-13.435244632415897,-0.030956784867317733,0.4304527508378872,-0.46140953548790636,-0.017011322444683355,0.018872605367341616,2019,agent,0.11554845580404687,0.05822359509107653
spot_down/option_down/iv_down,1503,-281.38387814026106,-0.18721482244861015,-0.6080644675015408,0.4208496446572677,-0.05319834096035432,-0.055889232031263614,2020,agent,0.2630381519075954,0.38994556925830864
spot_down/option_down/iv_flat,131,-28.817415118812296,-0.2199802680825366,-0.5597169436934377,0.3397366758991609,-0.1459403928723327,-0.10092890864965226,2020,agent,0.022926146307315366,0.03993556211296813
spot_down/option_down/iv_up,1114,-99.07839597223186,-0.08893931415819736,-0.374034655023547,0.2850953409766531,-0.16001861548872603,-0.07840612355967451,2020,agent,0.19495974798739937,0.1373041759675145
spot_up/option_down/iv_down,546,-70.2611096811058,-0.12868335106429632,-0.09239492851606537,-0.03628842259360467,0.033817185104978206,-0.06609254993178164,2020,agent,0.09555477773888695,0.0973687923856896
spot_up/option_down/iv_flat,27,-3.74953977503565,-0.1388718435198389,-0.05654290157973899,-0.08232894174093468,0.016425202427035185,-0.07578452396007143,2020,agent,0.004725236261813091,0.005196162735748946
spot_up/option_down/iv_up,29,-1.6978535055152633,-0.058546672603974594,-0.03773873782392507,-0.020807934799709202,0.0170099995771187,-0.058438799148618076,2020,agent,0.005075253762688134,0.0023529082621973913
spot_up/option_flat/iv_down,10,-0.16301762107345236,-0.016301762107345234,0.0,-0.016301762517405505,0.038235873080322065,-0.06300574259088998,2020,agent,0.0017500875043752187,0.00022591201553109582
spot_up/option_flat/iv_up,2,-0.0023580196860148546,-0.0011790098430074273,0.0,-0.001179009877430094,0.01385538121210178,-0.0834272618649563,2020,agent,0.00035001750087504374,3.267775449192647e-06
spot_up/option_up/iv_down,1802,-216.82348616477864,-0.12032379920353976,0.513911543546603,-0.6342353428260524,0.030807248120048394,-0.033083259129127345,2020,agent,0.3153657682884144,0.3004769082717326
spot_up/option_up/iv_flat,53,-3.79321521287431,-0.07157009835611906,0.9829487483796219,-1.0545188470500368,0.01973791093364322,-0.007364406284478093,2020,agent,0.00927546377318866,0.005256688745921117
